,"Trans Date and
Time",Value Date,Transaction Details,"Ref/Cheque
No",Debit,Credit,Balance,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"Trans Date and
Value Date
Time","Ref/Cheque
Debit
Credit
Balance
No",Unnamed: 6
15,22/02/21 21:14,22/02/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/105321028225",,"3,000.00",,"40,054.26Cr",,,,,,,,,
16,23/02/21 08:45,23/02/21,UPI/MOB/105408574547/UberRide,,100.00,,"39,954.26Cr",,,,,,,,,
17,23/02/21 10:26,23/02/21,"ATM-NFS/CASH WITHDRAWAL/AIRPORT
C/105410008903",,"3,000.00",,"36,954.26Cr",,,,,,,,,
18,23/02/21 10:36,23/02/21,"POS-VISA/LIQUOR
WORLD/105405664573",,600.00,,"36,354.26Cr",,,,,,,,,
19,23/02/21 10:38,23/02/21,"POS-VISA/MSW*SAPTAGIRI
RESTAURARupnagar/1054109982",,230.00,,"36,124.26Cr",,,,,,,,,
20,23/02/21 11:15,23/02/21,"POS-VISA/MSW*SAPTAGIRI
RESTAURARupnagar/1054110060",,160.00,,"35,964.26Cr",,,,,,,,,
21,23/02/21 11:17,23/02/21,"POS-VISA/LIQUOR
WORLD/105405676340",,600.00,,"35,364.26Cr",,,,,,,,,
22,23/02/21 15:29,23/02/21,UPI/MOB/105415741644/UPI,,388.00,,"34,976.26Cr",,,,,,,,,
23,23/02/21 23:19,23/02/21,"POS-VISA/MSW*PRIATES
CAFE/105423198568",,"1,430.00",,"33,546.26Cr",,,,,,,,,
0,,,,,,,,,,,,,,,,
1,,,"UPI/MOB/105500476716/patron bar
dinner",,,,,,24/02/21,,,840.00,,24/02/21 00:35,,"32,706.26Cr"
2,,,UPI/MOB/105511662997/cab self drive,,,,,,24/02/21,,,"2,800.00",,24/02/21 11:24,,"29,906.26Cr"
3,,,UPI/MOB/105513075721/kokum juice,,,,,,24/02/21,,,160.00,,24/02/21 13:39,,"29,746.26Cr"
4,,,"REF/POS-VISA/IOCL PUMP
/235030/220221",,,,,,24/02/21,,,,3.75,24/02/21 16:07,,"29,750.01Cr"
5,,,UPI/MOB/105516607957/lunch at arambol,,,,,,24/02/21,,,820.00,,24/02/21 16:17,,"28,930.01Cr"
6,,,"POS-VISA/C AND M
ENTERPRISES/105609312696",,,,,,25/02/21,,,"2,000.00",,25/02/21 15:08,,"26,930.01Cr"
7,,,UPI/MOB/105619151840/Verified Merchant,,,,,,25/02/21,,,"1,010.00",,25/02/21 19:18,,"25,920.01Cr"
8,,,UPI/MOB/105619238121/UPI,,,,,,25/02/21,,,"3,150.00",,25/02/21 19:21,,"22,770.01Cr"
9,,,"POS-VISA/TITLIE HOSPITALITY
LLPANJUNA/105617755253",,,,,,25/02/21,,,"5,207.00",,25/02/21 23:15,,"17,563.01Cr"
10,,,UPI/MOB/105623769891/UPI,,,,,,25/02/21,,,580.00,,25/02/21 23:46,,"16,983.01Cr"
11,,,"POS-VISA/ANGRY SARDAR
COURTYARDANJUNA/105719763908",,,,,,26/02/21,,,"1,395.00",,26/02/21 00:33,,"15,588.01Cr"
12,,,"UPI/MOB/105711465761/IndiGo Google Pay
Payment",,,,,,26/02/21,,,250.00,,26/02/21 11:07,,"15,338.01Cr"
13,,,"UPI/MOB/105711490272/IndiGo Google
Pay Payment",,,,,,26/02/21,,,400.00,,26/02/21 11:09,,"14,938.01Cr"
14,,,"UPI/MOB/105711963221/IndiGo Google Pay
Payment",,,,,,26/02/21,,,99.00,,26/02/21 11:20,,"14,839.01Cr"
15,,,"UPI/MOB/105711131004/IndiGo Google Pay
Payment",,,,,,26/02/21,,,250.00,,26/02/21 11:26,,"14,589.01Cr"
16,,,UPI/MOB/105713768806/UPI,,,,,,26/02/21,,,"5,330.00",,26/02/21 13:14,,"9,259.01Cr"
17,,,POS-VISA/vaango 1/105712745464,,,,,,26/02/21,,,388.00,,26/02/21 18:16,,"8,871.01Cr"
18,,,UPI/MOB/105718906869/UPI,,,,,,26/02/21,,,500.00,,26/02/21 18:19,,"8,371.01Cr"
19,,,UPI/MOB/105718398192/UPI,,,,,,26/02/21,,,405.00,,26/02/21 18:37,,"7,966.01Cr"
20,,,POS-VISA/LIQUOR WORLD/105717883663,,,,,,26/02/21,,,900.00,,26/02/21 23:06,,"7,066.01Cr"
21,,,"UPI/MOB/105800859644/ZomatoOnlineOr
der",,,,,,26/02/21,,,440.00,,26/02/21 00:23,,"6,626.01Cr"
22,,,"REF/POS-VISA/C AND M
ENTERPR/513924/250221",,,,,,27/02/21,,,,15.0,27/02/21 17:51,,"6,641.01Cr"
23,,,"POS-VISA/KRISHAN KUMAR
GARG/105819036953",,,,,,27/02/21,,,390.00,,27/02/21 19:47,,"6,251.01Cr"
0,27/02/21 21:38,27/02/21,UPI/MOB/105821657928/Zomato payment,,467.00,,"5,784.01Cr",,,,,,,,,
1,28/02/21 14:59,28/02/21,"POS-VISA/KRISHAN KUMAR
GARG/105914465926",,450.00,,"5,334.01Cr",,,,,,,,,
2,28/02/21 22:02,28/02/21,"POS-VISA/KRISHAN KUMAR
GARG/105922800004",,250.00,,"5,084.01Cr",,,,,,,,,
3,28/02/21 22:06,28/02/21,UPI/MOB/105922514112/UPI,,180.00,,"4,904.01Cr",,,,,,,,,
4,01/03/21 11:52,01/03/21,UPI/MOB/106011352086/cable,,380.00,,"4,524.01Cr",,,,,,,,,
5,01/03/21 21:04,01/03/21,"UPI/MOB/106021871851/Payment made to
Merchant",,320.00,,"4,204.01Cr",,,,,,,,,
6,01/03/21 21:19,01/03/21,UPI/MOB/106021343174/UPI,,40.00,,"4,164.01Cr",,,,,,,,,
7,02/03/21 13:21,02/03/21,UPI/MOB/106113981047/UPI,,100.00,,"4,064.01Cr",,,,,,,,,
8,02/03/21 17:21,02/03/21,UPI/MOB/106117098298/UPI,,30.00,,"4,034.01Cr",,,,,,,,,
9,02/03/21 19:01,02/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106119856095",,150.00,,"3,884.01Cr",,,,,,,,,
10,03/03/21 18:46,03/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106218434363",,150.00,,"3,734.01Cr",,,,,,,,,
11,03/03/21 18:49,03/03/21,UPI/MOB/106218548033/UPI,,20.00,,"3,714.01Cr",,,,,,,,,
12,03/03/21 22:02,03/03/21,POS-VISA/IOCL PUMP/106216012706,,"1,000.00",,"2,714.01Cr",,,,,,,,,
13,04/03/21 18:18,04/03/21,UPI/MOB/106318055099/UPI,,450.00,,"2,264.01Cr",,,,,,,,,
14,04/03/21 18:31,04/03/21,UPI/MOB/106318413360/UPI,,"1,000.00",,"1,264.01Cr",,,,,,,,,
15,04/03/21 18:32,04/03/21,UPI/MOB/106318435212/UPI,,,5.00,"1,269.01Cr",,,,,,,,,
16,05/03/21 11:07,05/03/21,UPI/MOB/106411148602/UPI,,860.00,,409.01Cr,,,,,,,,,
17,05/03/21 14:19,05/03/21,"IMPS-MOB/Fund
Trf/106414172199/34116625/157087803952
/",,,"3,906.00","4,315.01Cr",,,,,,,,,
18,05/03/21 16:14,05/03/21,"REF/POS-VISA/IOCL PUMP
/772808/030321",,,7.50,"4,322.51Cr",,,,,,,,,
19,05/03/21 18:31,05/03/21,UPI/MOB/106418534535/UPI,,500.00,,"3,822.51Cr",,,,,,,,,
20,05/03/21 18:46,05/03/21,UPI/MOB/106418959637/UPI,,450.00,,"3,372.51Cr",,,,,,,,,
21,05/03/21 23:15,05/03/21,UPI/MOB/106423061497/UPI,,450.00,,"2,922.51Cr",,,,,,,,,
22,05/03/21 23:20,05/03/21,UPI/MOB/106423126434/UPI,,80.00,,"2,842.51Cr",,,,,,,,,
23,06/03/21 11:02,06/03/21,UPI/MOB/106511092127/UPI,,800.00,,"2,042.51Cr",,,,,,,,,
24,06/03/21 12:04,06/03/21,UPI/MOB/106512703608/UPI,,200.00,,"1,842.51Cr",,,,,,,,,
0,06/03/21 18:41,06/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106518472308",,150.00,,"1,692.51Cr",,,,,,,,,
1,07/03/21 18:37,07/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106618241074",,350.00,,"1,342.51Cr",,,,,,,,,
2,07/03/21 18:44,07/03/21,UPI/MOB/106618516091/UPI,,18.00,,"1,324.51Cr",,,,,,,,,
3,07/03/21 19:34,07/03/21,UPI/MOB/106619175576/UPI,,,"5,000.00","6,324.51Cr",,,,,,,,,
4,08/03/21 10:26,08/03/21,UPI/MOB/106710977289/UPI Transaction,,800.00,,"5,524.51Cr",,,,,,,,,
5,08/03/21 18:46,08/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106718949119",,150.00,,"5,374.51Cr",,,,,,,,,
6,08/03/21 18:49,08/03/21,UPI/MOB/106718857337/UPI,,20.00,,"5,354.51Cr",,,,,,,,,
7,09/03/21 15:54,09/03/21,"DRC_HOST_TRTR/106718857337/08-MAR-
21/20",,,20.00,"5,374.51Cr",,,,,,,,,
8,09/03/21 18:43,09/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106818620339",,350.00,,"5,024.51Cr",,,,,,,,,
9,09/03/21 18:46,09/03/21,UPI/MOB/106818093745/UPI,,40.00,,"4,984.51Cr",,,,,,,,,
10,10/03/21 06:07,10/03/21,"Charge:Cash Wdl at Other
ATM/Inv0602211842878931/23-FEB-2021",,20.00,,"4,964.51Cr",,,,,,,,,
11,10/03/21 06:07,10/03/21,"CGST on Charge:Cash Wdl at Other
ATM/Inv0602211842878931/23-FEB-2021",,1.80,,"4,962.71Cr",,,,,,,,,
12,10/03/21 06:07,10/03/21,"SGST on Charge:Cash Wdl at Other
ATM/Inv0602211842878931/23-FEB-2021",,1.80,,"4,960.91Cr",,,,,,,,,
13,10/03/21 10:53,10/03/21,"POS-VISA/Google
Adwords/106905805947",,"1,750.00",,"3,210.91Cr",,,,,,,,,
14,10/03/21 12:12,10/03/21,UPI/MOB/106912042993/UPI Transaction,,300.00,,"2,910.91Cr",,,,,,,,,
15,10/03/21 18:38,10/03/21,UPI/MOB/106918528033/UPI,,70.00,,"2,840.91Cr",,,,,,,,,
16,10/03/21 18:42,10/03/21,"POS-VISA/KRISHAN KUMAR
GARG/106918296736",,150.00,,"2,690.91Cr",,,,,,,,,
17,10/03/21 18:44,10/03/21,UPI/MOB/106918747781/UPI,,20.00,,"2,670.91Cr",,,,,,,,,
18,11/03/21 15:23,11/03/21,UPI/MOB/107015387379/Maldives trip,,,"10,000.00","12,670.91Cr",,,,,,,,,
19,11/03/21 17:58,11/03/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/107017006596",,"1,000.00",,"11,670.91Cr",,,,,,,,,
20,11/03/21 18:20,11/03/21,"POS-VISA/HPCL ADHOC TRUCK SUPP
PANCHKUL/1070125597",,992.50,,"10,678.41Cr",,,,,,,,,
21,11/03/21 21:38,11/03/21,UPI/MOB/107021679871/UPI,,350.00,,"10,328.41Cr",,,,,,,,,
22,11/03/21 21:43,11/03/21,UPI/MOB/107021785337/UPI,,180.00,,"10,148.41Cr",,,,,,,,,
23,12/03/21 00:28,12/03/21,UPI/MOB/107100064459/UPI,,60.00,,"10,088.41Cr",,,,,,,,,
0,12/03/21 00:43,12/03/21,UPI/MOB/107100179303/UPI,,280.00,,"9,808.41Cr",,,,,,,,,
1,12/03/21 12:23,12/03/21,UPI/MOB/107112418288/UPI,,880.00,,"8,928.41Cr",,,,,,,,,
2,12/03/21 12:54,12/03/21,UPI/MOB/107112206786/UPI,,180.00,,"8,748.41Cr",,,,,,,,,
3,12/03/21 20:15,12/03/21,"UPI/MOB/107120035288/ZomatoOnlineOr
der",,352.00,,"8,396.41Cr",,,,,,,,,
4,13/03/21 10:59,13/03/21,UPI/MOB/107210464180/Upi Transaction,,"1,000.00",,"7,396.41Cr",,,,,,,,,
5,13/03/21 19:07,13/03/21,"POS-VISA/KRISHAN KUMAR
GARG/107219384175",,170.00,,"7,226.41Cr",,,,,,,,,
6,13/03/21 19:09,13/03/21,UPI/MOB/107219643015/UPI,,20.00,,"7,206.41Cr",,,,,,,,,
7,13/03/21 19:14,13/03/21,UPI/MOB/107219807080/UPI,,70.00,,"7,136.41Cr",,,,,,,,,
8,14/03/21 09:05,14/03/21,UPI/MOB/107309526964/Maldives trip,,,"10,000.00","17,136.41Cr",,,,,,,,,
